Code,Description,pheno_20,pheno_21,pheno_24,pheno_25,pheno_27,pheno_28,pheno_29,pheno_30,pheno_31,pheno_34,pheno_36,pheno_15,pheno_17,pheno_05,pheno_09,pheno_11,pheno_12,pheno_01,pheno_02,pheno_13,pheno_16,pheno_33,pheno_37,Person.count.in.SDE,In.Refset
276514007,Neonatal cardiac failure (disorder),0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No
276637009,Hemorrhagic pulmonary edema (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
277638005,Sepsis-associated left ventricular failure (disorder),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
277639002,Sepsis-associated right ventricular failure (disorder),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
281170005,Arrhythmogenic right ventricular cardiomyopathy (disorder),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
285211000119102,Congestive heart failure as post-operative complication of cardiac surgery (disorder),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
285221000119109,Congestive heart failure as post-operative complication of non-cardiac surgery (disorder),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
286952009,Pulmonary heart disease NOS (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
286953004,Other pulmonary heart disease (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
308118002,Cardiac failure therapy (procedure),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
309634009,History of heart failure in last year (situation),1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No
313389004,No cardiac failure (situation),0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No
314206003,Refractory heart failure (disorder),1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,130,No
325431000000103,Congestive heart failure due to valvular disease (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
33622007,Round heart disease (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
33644002,Postvalvulotomy syndrome (disorder),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
